arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
577.00,0.00,60.95,14.00,1.00,193.00,1.69,71.15,59.21
578.00,0.30,42.85,4.00,0.00,151.00,1.30,57.20,49.35
545.00,1.00,27.78,0.00,0.00,78.00,0.00,19.85,29.38
510.00,0.84,33.70,0.00,2.00,111.00,0.38,27.10,48.98
443.00,0.00,33.23,2.00,2.00,123.00,3.43,45.70,40.64
453.00,0.00,39.25,2.00,0.00,133.00,3.33,37.07,53.35
495.00,0.00,45.16,2.00,3.00,195.00,7.69,56.03,86.12
474.00,1.59,52.08,1.00,10.00,178.00,4.57,54.51,65.25
530.00,1.00,40.01,0.00,1.00,123.00,1.00,38.79,42.20
554.00,0.70,63.70,5.00,5.00,198.00,4.71,65.05,63.84
634.00,0.00,52.85,4.00,0.00,183.00,3.00,73.88,53.27
533.00,0.00,35.95,5.00,0.00,90.00,1.07,28.42,24.56
582.00,1.00,40.17,10.00,0.00,123.00,0.97,30.16,50.70
568.00,0.00,74.42,85.00,0.00,170.00,1.92,25.92,67.74
565.00,0.09,50.24,17.00,0.00,116.00,0.00,20.20,45.47
581.00,1.00,41.89,9.00,0.00,112.00,1.07,14.45,53.58
560.00,0.00,55.52,24.00,2.00,155.00,2.21,47.89,49.38
562.00,0.00,65.95,8.00,1.00,175.00,3.89,23.31,81.85
560.00,3.15,55.96,7.00,2.00,161.00,4.21,27.31,70.38
522.00,0.00,69.23,13.00,11.00,177.00,4.96,44.36,58.44
578.00,0.00,60.51,4.00,5.00,195.00,1.78,68.49,64.22
532.00,1.00,71.19,23.00,4.00,201.00,1.00,48.02,79.79
638.00,0.00,84.81,26.00,0.00,235.00,3.96,69.37,76.85
614.00,0.00,66.58,17.00,1.00,144.00,1.62,37.49,38.32
698.00,0.00,68.72,44.00,1.00,164.00,1.56,54.16,39.57
704.00,0.00,92.23,5.00,0.00,208.00,0.54,40.84,74.39
676.00,0.00,66.99,0.00,0.00,152.00,2.19,34.44,48.38
693.00,0.00,82.65,44.00,2.00,184.00,0.00,18.87,82.48
646.00,1.00,69.86,23.00,1.00,145.00,1.53,26.53,46.08
690.00,0.23,81.05,40.00,1.00,213.00,4.44,57.88,69.40
692.00,0.77,88.58,15.00,6.00,249.00,4.89,53.87,100.90
652.00,1.00,85.90,29.00,6.00,220.00,0.75,40.96,91.39
581.00,0.00,46.27,2.00,3.00,91.00,0.27,18.96,25.49
540.00,0.00,30.17,15.00,2.00,64.00,1.31,22.26,10.26
474.00,2.00,24.81,7.00,0.00,62.00,0.02,16.35,18.82
260.00,0.00,26.04,10.00,0.00,49.00,1.00,14.40,7.57
297.00,1.00,14.58,0.00,0.00,24.00,0.00,3.84,4.58
310.00,0.00,13.11,0.00,0.00,25.00,0.00,8.66,3.24
183.00,0.00,11.17,0.00,1.00,17.00,0.00,2.63,3.21
